name,category,code,image_url,brand,inventory,market_price,price,maker,country_of_origin,delivery_method,delivery_fee,sub_category,condition,option,option_price,description
[안동한우]갈비 특선세트1호,199,02-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//02-01.jpg,안동봉화축협,999,167000,157800,안동봉화축협,한국,101,0,2,100,,,찜갈비 800g×3
[안동한우]갈비 특선세트2호,199,02-01-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//02-01-01.jpg,안동봉화축협,999,267000,252300,안동봉화축협,한국,101,0,2,100,,,찜갈비 800g×5
[안동한우]한아름세트1호,199,02-02,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//02-02.jpg,안동봉화축협,999,156000,147800,안동봉화축협,한국,101,0,2,100,,,"갈비 800g, 등심 700g, 불고기 700g"
[안동한우]한아름세트2호,199,02-02-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//02-02-01.jpg,안동봉화축협,999,202000,191200,안동봉화축협,한국,101,0,2,100,,,"갈비 800g, 등심 700g, 국거리 700g, 불고기 700g, 사태 700g"
[안동한우]으뜸로스2호,199,02-03,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//02-03.jpg,안동봉화축협,999,250000,236700,안동봉화축협,한국,101,0,2,100,,,"안심 700g, 채끝 700g, 차돌박이 700g, 불고기 700g, 등심 700g"
[강강술래]한우불고기세트1호,199,02-04,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//02-04.jpg,㈜강강술래,999,52000,47300,㈜강강술래,한국,101,0,1,100,,,양념불고기 900g×2
[강강술래]한우불고기세트2호,199,02-04-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//02-04-01.jpg,㈜강강술래,999,110000,94500,㈜강강술래,한국,101,0,1,100,,,양념불고기 900g×4
[강강술래]실속세트,199,02-05,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//02-05.jpg,㈜강강술래,999,135000,122300,㈜강강술래,한국,101,0,1,100,,,"불고기 900g×2, 양념갈비 16대"
[경기광주축협]자연채 갈비세트1호,199,03-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//03-01.jpg,경기광주축협,999,150000,135600,경기광주축협,한국,101,0,2,100,,,찜갈비 800g×3
[경기광주축협]자연채 갈비세트2호,199,03-01-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//03-01-01.jpg,경기광주축협,999,190000,175600,경기광주축협,한국,101,0,2,100,,,"찜갈비 800g×4, 양념장"
