상품명,카테고리 코드,업체상품관리코드,상품이미지URL,브랜드명,재고수량,시장가격,판매가격,제조사명,생산지명,배송방법,배송비,과/2구분,상품상태,옵션,옵션가격,상품설명
[사조해표]포도씨유 7호,560,22-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//22-01.jpg,사조해표,999,13800,12800,사조해표,한국,102,3000,1,100,,,포도씨유 500ml×2
[사조해표]참기름 H3호,560,22-02,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//22-02.jpg,사조해표,999,17000,16600,사조해표,한국,102,3000,1,100,,,"참기름 350ml×2, 참기름 110ml×2"
[사조해표]정성,560,22-03,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//22-03.jpg,사조해표,999,27000,25600,사조해표,한국,102,3000,1,100,,,"포도씨유 500ml, 카놀라유 500ml, 참기름 110ml×2,살코기 참치 150g×2, 런천미트 200g×2"
[사조해표]정성,560,22-03,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//22-03.jpg,사조해표,999,33000,31000,사조해표,한국,102,3000,1,100,,,"포도씨유 500ml, 카놀라유 500ml, 참기름 110ml× 2, 살코기 참치 150g×4, 런천미트 200g×3"
[사조해표]정성 4호,560,22-04,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//22-04.jpg,사조해표,999,27000,25600,사조해표,한국,102,3000,1,100,,,"카놀라유 500ml×2, 살코기 참치 100g×6, 런천미트 200g×3"
[사조해표]정성,560,22-05,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//22-05.jpg,사조해표,999,32000,29800,사조해표,한국,102,3000,1,100,,,"살코기 참치 100g×12, 런천미트 200g×3"
[사조해표]정성,560,22-05-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//22-05-01.jpg,사조해표,999,76000,70600,사조해표,한국,102,3000,1,100,,,"살코기 참치 150g×24, 런천미트 200g×4"
[사조해표]정성 29호,560,22-06,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//22-06.jpg,사조해표,999,90000,84000,사조해표,한국,102,3000,1,100,,,"살코기 참치 150g×18, 올리브유 참치 150g×3, 
           포도씨유 참치 150g×3, 런천미트 200g×8"
[사조남부햄]명품1호,560,22-07,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//22-07.jpg,사조남부햄,999,111000,103400,사조남부햄,한국,102,3000,1,100,,,"안심바베큐 350g×2, 갈비바베큐 300g×2, 로인바베큐 450g, 파스트라미 450g, 벨리바베큐 300g, 롤삼겹 450g, 소스 150g×2"
[사조남부햄]명품2호,560,22-08,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//22-08.jpg,사조남부햄,999,82000,76700,사조남부햄,한국,102,3000,1,100,,,"안심바베큐 350g, 안심햄 300g, 등심햄 300g, 로인바베큐 450g, 파스트라미 450g, 벨리바베큐 300g, 데코델리 300g, 소스 150g×2"
[사조남부햄]명품3호,560,22-09,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//22-09.jpg,사조남부햄,999,67000,62300,사조남부햄,한국,102,3000,1,100,,,"안심바베큐 350g, 피크닉바베큐 300g, 로인바베큐 450g, 데코델리 300g, 벨리바베큐 300g, 소스 150g"
[대상]청정원 나눔 2호,560,23-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//23-01.jpg,대상㈜,999,30200,29500,대상㈜,"호주, 수입산",101,0,1,100,,,"카놀라유500ml×2, 우리팜델리190g×2, 우리팜 115g×2, 참치100g×2,  마늘소금 190g, 통참께참기름160ml"
[대상]청정원 나눔 3호,560,23-02,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//23-02.jpg,대상㈜,999,26500,25600,대상㈜,"호주, 수입산",101,0,1,100,,,"카놀라유 500ml×2, 홍초 석류500ml, 사조참치 100g×4,우리팜델리 115g×2, 요리하는 올리고당 700g"
[대상]청정원 5호,560,23-03,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//23-03.jpg,대상㈜,999,27000,26200,대상㈜,"호주, 한국",101,0,1,100,,,"카놀라유 500ml×2, 우리팜델리 190g×7, 통참깨참기름 160ml, 신안섬보배 천일염꽃소금 190g"
[대상]청정원 3호,560,23-04,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//23-04.jpg,대상㈜,999,33000,32000,대상㈜,"호주, 수입산",101,0,1,100,,,"카놀라유 500ml×2, 우리팜델리 190g, 우리팜델리 115g×4, 통참깨참기름 160ml, 신안섬보배 천일염꽃소금 190g"
[대상]청정원 나눔,560,23-05,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//23-05.jpg,대상㈜,999,22500,21700,대상㈜,"호주, 수입산",101,0,1,100,,,"카놀라유 500ml×2, 우리팜 115g×4, 홍초석류 500ml, 요리올리고당 700g"
[대상]청정원 홍초,560,23-06,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//23-06.jpg,대상㈜,999,22500,21700,대상㈜,"한국,미국, 수입산",101,0,1,100,,,"마시는홍초 석류, 복분자, 블루베리 각 900ml"
[대상]청정원 홍초,560,23-06-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//23-06-01.jpg,대상㈜,999,18000,17600,대상㈜,"한국,미국, 수입산",101,0,1,100,,,"마시는홍초 석류, 복분자 각 900ml"
